LABEL,TEXT
0,thread scare
1,like sean mango  yesterday
1,work show   sooooooooooo tire sparrow sign cowboy
1,actual start  afternoon  someth  slow process collect mani
1,worry  vote  stop  love much
1,ever good  love knitpick
1,sorri fort  trade scale  answer
1,readi church  watch  whoop djokov  settl  suppos
1,earli tomorrow last open home goodnight
0,need shake  gloomi feel mayb rain
0,minecraft ride sarah still afraid ride anyth
1,cheer follow
0,alon
1,good morn bless anoth  share light love
1,
1,thank  want
1,play afeee  vote
1,movi  cream    call night noth like  time
0,good without
0,help obsess hannah montana
0,hate peopl move away
0,onli  iranelect
1,glad    west wing episod
0,hempel open sentenc describ   school develop current govt
1,amaz
0,luke   answer pleas  love music hear whole  realli
1,readi
0,cant watch tell pleas
0,wont forget today
1,right ¿ page write rubi cocoa
1,okay permiss  give credit
0,miss freshman year
1,nice  like shirt
0,mean meet   grade even though hate stay like
1,ã¼ber success call classic
1,bathroom sparkl  sinc   wrong right next
0,poor
0,sleepi hate
1,cool
0,work time
1,chocol bridg
0,cancel poor kill
0,miss game
0,yeah  load   tonight though seem scare
0,final back work wast week
1,webcam
0,watch student play back phone tweet
0,crave junk food
1,goodmorn   goodnit
0,perimet nintendo   think mention
0,afternoon  littl  morn hide right worri
0,effect stat
0,scare thunder lightn care georgett
1,raion rule cikajang
0,miss face bonnaroo
0,stupid twitter keep tell capac
0,work complet bore blah need
1,wake love   doll
0,everyon  grumpi guilt hous tonight includ still suck
0,dave  think  ever
0,offic hope find  sick hard keep  open
1,notic love   weekday  sushi roll super cheap hope great weekend
1,love think  seen everi episod possibl bout
1,havana  funni repli havana  kansa appreci
0,small
0,feel like death next invest   need  bodi function  herd sleep good
1,goodnight everybodi   tomorrow night monday  friend
1,alright final woke late usual coffe green time best part wake yeah work
0,bore  figur profil  made  rememb  brain dead moment
0,fair enough slap  comm teacher face  lmaz thursday
1,yesterday  fantast   oregon miss  much
1,poland mother
1,like feel today
1,lydiastack australian releas know pleas write back
1,
0,back work
1,beach  head  listen yanke game  place clean mayb read littl
0,pull  full year definit longer symphoni level must remedi     hurt
1,today  well world  realli divert attent
0,poop forgot
1,packag arriv cheryl gave xiaomant book order
1,twitter kill blogger  apart  blog tradit sens  know
0,test  good probabl   torrent
1,bahahah  advertis  peopl
0,amus canâ  x99t make laugh
1,haha leav hull alon yeah mate
1,good morn  clean room
0,want  upset
