LABEL,sentences
0,<s> get thread scar </s>
1,<s> awaisnaseer like sedan mango one yesterday </s>
1,<s> work car work show go bed sooooooooooo tire sparrow sign lt cowboy gt </s>
1,<s> drama actually start afternoon try something slow process collect many vac </s>
1,<s> falcon601 www vote col love much </s>
1,<s> mrstessyman ever good day love knitpicks </s>
1,<s> getmevideo sorry forte ask trade scale day answer </s>
1,<s> get ready church sum watch afa whoop djokovic live settle dvr suppose </s>
1,<s> early tomorrow last open home goodnight </s>
0,<s> need shake gloomy feel maybe rain </s>
0,<s> minecraft ride sarah still afraid ride anything fun </s>
1,<s> tb78 cheer follow </s>
0,<s> sokendrakouture yea alone </s>
1,<s> good morning bless another day share light love others </s>
1,<s> realdeal32 </s>
1,<s> yoginifoodie well thank want </s>
1,<s> mileycyrus play own afeeee btw vote </s>
1,<s> get hot tub go get movie ice cream mt lil sis call night nothing like sis time </s>
0,<s> flyingbolt good without </s>
0,<s> lol help obsess hannah montana </s>
0,<s> hate people move away </s>
0,<s> http sad iranelection </s>
1,<s> sctunstall wah glad cut run two west wing episodes </s>
0,<s> digitallearnin ppell open sentence describe see nz school develop current govt </s>
1,<s> ihauntwizards see amaze </s>
0,<s> luke oh luke answer please try love music hear whole day really </s>
1,<s> get ready </s>
0,<s> buckhollywood cant watch uk tell please x </s>
0,<s> wont forget today </s>
1,<s> soycamo right page write ruby cocoa </s>
1,<s> lol okay permission try give credit </s>
0,<s> go miss freshman year </s>
1,<s> domkoenig nice pic like shirt </s>
0,<s> mykiaisosm om ur bad mean meet u 2nd grade even though hat stay like </s>
1,<s> cyberela call quot classic quot </s>
1,<s> bathroom sparkle btw since 7 get ta wrong right next </s>
0,<s> poor l </s>
0,<s> sleepy hate 8am case </s>
1,<s> spencerpratt cool </s>
0,<s> work time http </s>
1,<s> eat chocolate bridge x </s>
0,<s> moz cancel poor kill </s>
0,<s> miss game </s>
0,<s> marginatasnaily yeah use load age tonight though seem scare xxx </s>
0,<s> finally back work waste week </s>
1,<s> get webcam </s>
0,<s> watch student play back phone tweet </s>
0,<s> crave junk food </s>
1,<s> bossmobb goodmorning u n goodnite go bed </s>
0,<s> newerdeal perimeter nintendo ds think mention </s>
0,<s> cat apps afternoon eat little morning hide right worry </s>
0,<s> effect stats </s>
0,<s> scar thunder lightning careful georgetta lt 3 </s>
1,<s> go rayon rule cikajang yum </s>
0,<s> eagles89 miss face bonnaroo </s>
0,<s> stupid twitter keep tell capacity </s>
0,<s> work completely bore blah need hug </s>
1,<s> quot wan na wake quot love goo goo dolls http </s>
0,<s> everyone grumpy guilt house tonight include still suck </s>
0,<s> rewrite dave think guy ever get sup </s>
0,<s> dr office hopefully find sick hard keep eye open </s>
1,<s> crush notice love ask esp weekdays great sushi roll super cheap hope youre great weekend </s>
1,<s> nachojohnny love think ive see every episode possible bout </s>
1,<s> teambudd1 haha funny reply haha say kansas appreciate </s>
0,<s> baron saw two small </s>
0,<s> feel like death next investment go spa need new body function via ingadurgin herd sleep good 4 dat </s>
1,<s> goodnight everybody see u tomorrow night monday cia friends xo </s>
1,<s> alright finally wake ass late usual coffee green time best part wake yeah work </s>
0,<s> im bore try figure profile ive make net remember bite brain dead moment </s>
